SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
21m_F_106,OF,1,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_F_106_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_F_MERGED_homer_peaks.QC_noMT.bed,bed
21m_F_107,OF,2,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_F_107_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_F_MERGED_homer_peaks.QC_noMT.bed,bed
21m_F_108,OF,3,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_F_108_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_F_MERGED_homer_peaks.QC_noMT.bed,bed
21m_F_109,OF,4,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_F_109_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_F_MERGED_homer_peaks.QC_noMT.bed,bed
21m_F_110,OF,5,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_F_110_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_F_MERGED_homer_peaks.QC_noMT.bed,bed
21m_M_116,OM,1,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_M_116_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_M_MERGED_homer_peaks.QC_noMT.bed,bed
21m_M_117,OM,2,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_M_117_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_M_MERGED_homer_peaks.QC_noMT.bed,bed
21m_M_118,OM,3,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_M_118_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_M_MERGED_homer_peaks.QC_noMT.bed,bed
21m_M_119,OM,4,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_M_119_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_M_MERGED_homer_peaks.QC_noMT.bed,bed
21m_M_120,OM,5,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_21m_M_120_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_21m_M_MERGED_homer_peaks.QC_noMT.bed,bed
