Lipid_ID	Lipid_Name	Lipid_Name_Tot	Lipid_Name_LION	Lipid_Class	FA_1	FA_2	Sat_status_FA1	Sat_status_FA2	FA_status_FA1	FA_status_FA2	Unsat_position_FA1	Unsat_position_FA2	HMDB_ID	KEGG_ID	LION_ID	cellular_component	Function	Total_Carb	Total_Unsat	Carbon_numb_FA1	Carbon_numb_FA2	Unsat_numb_FA1	Unsat_numb_FA2	PhysicoChemical	PathwaysKegg
CE.18.3.	CE(18:3)	CE(18:3)	CE(18:3)	CE	(18:3)		PUFA		Even		omega_3		HMDB10370		LION:0001257	"lipid droplet;endosome/lysosome"	lipid storage	18	3	18	NA	3	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 3 double bonds;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.18.4.	CE(18:4)	CE(18:4)	CE(18:4)	CE	(18:4)		PUFA		Even		omega_3				0			18	4	18	NA	4	NA		NA
CE.20.0.	CE(20:0)	CE(20:0)	CE(20:0)	CE	(20:0)		SFA		Even				HMDB06740		LION:0001258	"lipid droplet;endosome/lysosome"	lipid storage	20	0	20	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.20.1.	CE(20:1)	CE(20:1)	CE(20:1)	CE	(20:1)		MUFA		Even				HMDB05193		LION:0001259	"lipid droplet;endosome/lysosome"	lipid storage	20	1	20	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.20.2.	CE(20:2)	CE(20:2)	CE(20:2)	CE	(20:2)		PUFA		Even						LION:0001260	"lipid droplet;endosome/lysosome"	lipid storage	20	2	20	NA	2	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with 2 double bonds;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	NA
CE.20.3.	CE(20:3)	CE(20:3)	CE(20:3)	CE	(20:3)		PUFA		Even		omega_6		HMDB06736		LION:0001261	"lipid droplet;endosome/lysosome"	lipid storage	20	3	20	NA	3	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 3 double bonds;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.20.4.	CE(20:4)	CE(20:4)	CE(20:4)	CE	(20:4)		PUFA		Even		omega_6		HMDB06726		LION:0001262	"lipid droplet;endosome/lysosome"	lipid storage	20	4	20	NA	4	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 4 double bonds;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.20.5.	CE(20:5)	CE(20:5)	CE(20:5)	CE	(20:5)		PUFA		Even		omega_3		HMDB06731		LION:0001263	"lipid droplet;endosome/lysosome"	lipid storage	20	5	20	NA	5	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 5 double bonds;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.22.0.	CE(22:0)	CE(22:0)	CE(22:0)	CE	(22:0)		SFA		Even				HMDB06727		LION:0001264	"lipid droplet;endosome/lysosome"	lipid storage	22	0	22	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.22.1.	CE(22:1)	CE(22:1)	CE(22:1)	CE	(22:1)		MUFA		Even				HMDB10372		LION:0001265	"lipid droplet;endosome/lysosome"	lipid storage	22	1	22	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	NA
CE.22.2.	CE(22:2)	CE(22:2)	CE(22:2)	CE	(22:2)		PUFA		Even				HMDB06737		LION:0001266	"lipid droplet;endosome/lysosome"	lipid storage	22	2	22	NA	2	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with 2 double bonds;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.22.4.	CE(22:4)	CE(22:4)	CE(22:4)	CE	(22:4)		PUFA		Even		omega_6		HMDB06729		LION:0001268	"lipid droplet;endosome/lysosome"	lipid storage	22	4	22	NA	4	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 4 double bonds;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.22.5.	CE(22:5)	CE(22:5)	CE(22:5)	CE	(22:5)		PUFA		Even		omega_3		HMDB10375		LION:0001269	"lipid droplet;endosome/lysosome"	lipid storage	22	5	22	NA	5	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 5 double bonds;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	NA
CE.22.6.	CE(22:6)	CE(22:6)	CE(22:6)	CE	(22:6)		PUFA		Even		omega_3		HMDB06733		LION:0001270	"lipid droplet;endosome/lysosome"	lipid storage	22	6	22	NA	6	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with more than 5 double bonds;fatty acid with 6 double bonds;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.24.0.	CE(24:0)	CE(24:0)	CE(24:0)	CE	(24:0)		SFA		Even				HMDB10376		LION:0001271	"lipid droplet;endosome/lysosome"	lipid storage	24	0	24	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 24 carbons"	NA
CE.24.1.	CE(24:1)	CE(24:1)	CE(24:1)	CE	(24:1)		MUFA		Even				HMDB06728		LION:0001272	"lipid droplet;endosome/lysosome"	lipid storage	24	1	24	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 24 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CER.14.0.	CER(14:0)	CER(32:1)	Cer(d18:1/14:0)	CER	(18:1)	(14:0)		SFA	Even	Even			HMDB11773	C13916	LION:0001656	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	32	1	18	14	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons"	
CER.16.0.	CER(16:0)	CER(34:1)	Cer(d18:1/16:0)	CER	(18:1)	(16:0)		SFA	Even	Even			HMDB04949		LION:0001662	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	34	1	18	16	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.18.0.	CER(18:0)	CER(36:1)	Cer(d18:1/18:0)	CER	(18:1)	(18:0)		SFA	Even	Even			HMDB04950		LION:0001671	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	36	1	18	18	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.18.1.	CER(18:1)	CER(36:2)	Cer(d18:1/18:1)	CER	(18:1)	(18:1)		MUFA	Even	Even			HMDB04948		LION:0001674	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	36	2	18	18	1	1	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.20.0.	CER(20:0)	CER(38:1)	Cer(d18:1/20:0)	CER	(18:1)	(20:0)		SFA	Even	Even			HMDB04951		LION:0001683	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	38	1	18	20	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.20.1.	CER(20:1)	CER(38:2)	Cer(d18:1/20:1)	CER	(18:1)	(20:1)		MUFA	Even	Even					LION:0001686	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	38	2	18	20	1	1	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 19-21 carbons;fatty acid with 20 carbons"	NA
CER.22.0.	CER(22:0)	CER(40:1)	Cer(d18:1/22:0)	CER	(18:1)	(22:0)		SFA	Even	Even			HMDB04952		LION:0001696	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	40	1	18	22	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.22.1.	CER(22:1)	CER(40:2)	Cer(d18:1/22:1)	CER	(18:1)	(22:1)		MUFA	Even	Even			HMDB11775		LION:0001699	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	40	2	18	22	1	1	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 22 carbons"	NA
CER.24.0.	CER(24:0)	CER(42:1)	Cer(d18:1/24:0)	CER	(18:1)	(24:0)		SFA	Even	Even			HMDB04956		LION:0001706	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	42	1	18	24	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 24 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.24.1.	CER(24:1)	CER(42:2)	Cer(d18:1/24:1)	CER	(18:1)	(24:1)		MUFA	Even	Even			HMDB04953		LION:0001709	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	42	2	18	24	1	1	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with 22-24 carbons;fatty acid with 24 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.26.0.	CER(26:0)	CER(44:1)	Cer(d18:1/26:0)	CER	(18:1)	(26:0)		SFA	Even	Even			HMDB04955		LION:0001722	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	44	1	18	26	1	0	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with more than 18 carbons;fatty acid with more than 24 carbons;fatty acid with 26 carbons"	"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Insulin resistance;AGE-RAGE signaling pathway in diabetic complications;Leishmaniasis"
CER.26.1.	CER(26:1)	CER(44:2)	Cer(d18:1/26:1)	CER	(18:1)	(26:1)		MUFA	Even	Even			HMDB04954		LION:0001725	"endoplasmic reticulum (ER);plasma membrane"	lipid-mediated signalling	44	2	18	26	1	1	"sphingolipids [SP];ceramides [SP02];N-acylsphingosines (ceramides) [SP0201];negative intrinsic curvature;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with more than 18 carbons;fatty acid with more than 24 carbons;fatty acid with 26 carbons"	NA
DAG.12.0.16.0.	DAG(12:0_16:0)	DAG(28:0)	DG(12:0/16:0)	DAG	(12:0)	(16:0)	SFA	SFA	Even	Even					LION:0004368		"lipid-mediated signalling;membrane component"	28	0	12	16	0	0	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with less than 13 carbons;fatty acid with 12 carbons;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	NA
DAG.12.0.18.0.	DAG(12:0_18:0)	DAG(30:0)	DG(12:0/18:0)	DAG	(12:0)	(18:0)	SFA	SFA	Even	Even					LION:0004371		"lipid-mediated signalling;membrane component"	30	0	12	18	0	0	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with less than 13 carbons;fatty acid with 12 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
DAG.12.0.18.1.	DAG(12:0_18:1)	DAG(30:1)	DG(12:0/18:1)	DAG	(12:0)	(18:1)	SFA	MUFA	Even	Even					LION:0004373		"lipid-mediated signalling;membrane component"	30	1	12	18	0	1	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with less than 13 carbons;fatty acid with 12 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
DAG.12.0.18.2.	DAG(12:0_18:2)	DAG(30:2)	DG(12:0/18:2)	DAG	(12:0)	(18:2)	SFA	PUFA	Even	Even		omega_6			LION:0004375		"lipid-mediated signalling;membrane component"	30	2	12	18	0	2	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;polyunsaturated fatty acid;fatty acid with 2 double bonds;fatty acid with 18 carbons or less;fatty acid with less than 13 carbons;fatty acid with 12 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
DAG.14.0.14.0.	DAG(14:0_14:0)	DAG(28:0)	DG(14:0/14:0)	DAG	(14:0)	(14:0)	SFA	SFA	Even	Even			HMDB07008	C16667	LION:0004369		"lipid-mediated signalling;membrane component"	28	0	14	14	0	0	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons"	
DAG.14.0.16.0.	DAG(14:0_16:0)	DAG(30:0)	DG(14:0/16:0)	DAG	(14:0)	(16:0)	SFA	SFA	Even	Even			HMDB07095		LION:0004372		"lipid-mediated signalling;membrane component"	30	0	14	16	0	0	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	NA
DAG.14.0.16.1.	DAG(14:0_16:1)	DAG(30:1)	DG(14:0/16:1)	DAG	(14:0)	(16:1)	SFA	MUFA	Even	Even			HMDB07012		LION:0004374		"lipid-mediated signalling;membrane component"	30	1	14	16	0	1	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	NA
DAG.14.0.18.1.	DAG(14:0_18:1)	DAG(32:1)	DG(14:0/18:1)	DAG	(14:0)	(18:1)	SFA	MUFA	Even	Even			HMDB07015		LION:0004380		"lipid-mediated signalling;membrane component"	32	1	14	18	0	1	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
DAG.14.0.18.2.	DAG(14:0_18:2)	DAG(32:2)	DG(14:0/18:2)	DAG	(14:0)	(18:2)	SFA	PUFA	Even	Even		omega_6	HMDB07016		LION:0004383		"lipid-mediated signalling;membrane component"	32	2	14	18	0	2	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;polyunsaturated fatty acid;fatty acid with 2 double bonds;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
DAG.14.0.18.3.	DAG(14:0_18:3)	DAG(32:3)	DG(14:0/18:3)	DAG	(14:0)	(18:3)	SFA	PUFA	Even	Even		omega_3	HMDB07018		LION:0004386		"lipid-mediated signalling;membrane component"	32	3	14	18	0	3	"glycerolipids [GL];diradylglycerols [GL02];diacylglycerols [GL0201];headgroup with neutral charge;negative intrinsic curvature;fatty acid with less than 2 double bonds;saturated fatty acid;polyunsaturated fatty acid;fatty acid with more than 3 double bonds;fatty acid with 3-5 double bonds;fatty acid with 3 double bonds;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	NA
