"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002939","C24:1",5,2,1.04,"0.27987","1.00e+00"
"LION:0002935","C22:4",9,3,1.88,"0.28352","1.00e+00"
"LION:0002969","monounsaturated fatty acid",68,16,14.18,"0.32788","1.00e+00"
"LION:0000100","fatty acid with 18 carbons or less",168,37,35.03,"0.36012","1.00e+00"
"LION:0002921","C18:0",53,12,11.05,"0.42563","1.00e+00"
"LION:0002971","fatty acid with 3 double bonds",21,5,4.38,"0.45385","1.00e+00"
"LION:0002882","C16:0",60,13,12.51,"0.49172","1.00e+00"
"LION:0000193","PC(38:4)",3,1,0.63,"0.50507","1.00e+00"
"LION:0002926","C20:1",3,1,0.63,"0.50507","1.00e+00"
"LION:0002937","C22:6",13,3,2.71,"0.53145","1.00e+00"
"LION:0002976","fatty acid with more than 3 double bonds",77,16,16.06,"0.56040","1.00e+00"
"LION:0000563","steryl esters [ST0102]",14,3,2.92,"0.58633","1.00e+00"
"LION:0002973","fatty acid with 5 double bonds",14,3,2.92,"0.58633","1.00e+00"
"LION:0002948","fatty acid with 16-18 carbons",161,33,33.57,"0.60016","1.00e+00"
"LION:0002977","fatty acid with 3-5 double bonds",64,13,13.35,"0.60220","1.00e+00"
"LION:0002930","C20:5",4,1,0.83,"0.60897","1.00e+00"
"LION:0012082","plasma membrane",20,4,4.17,"0.62952","1.00e+00"
"LION:0002955","fatty acid with 16 carbons",70,14,14.6,"0.62999","1.00e+00"
"LION:0000466","positive intrinsic curvature",10,2,2.09,"0.65224","1.00e+00"
"LION:0000599","lysoglycerophospholipids",10,2,2.09,"0.65224","1.00e+00"
"LION:0002936","C22:5",10,2,2.09,"0.65224","1.00e+00"
"LION:0080971","high bilayer thickness",11,2,2.29,"0.70581","1.00e+00"
"LION:0012010","membrane component",163,32,33.99,"0.72510","1.00e+00"
"LION:0000002","glycerolipids [GL]",255,51,53.17,"0.73608","1.00e+00"
"LION:0080974","above average bilayer thickness",12,2,2.5,"0.75241","1.00e+00"
"LION:0080981","below average lateral diffusion",12,2,2.5,"0.75241","1.00e+00"
"LION:0002972","fatty acid with 4 double bonds",29,5,6.05,"0.76138","1.00e+00"
"LION:0000464","negative intrinsic curvature",112,21,23.35,"0.77682","1.00e+00"
"LION:0002900","C16:1",13,2,2.71,"0.79258","1.00e+00"
"LION:0002957","fatty acid with 18 carbons",115,21,23.98,"0.82262","1.00e+00"
"LION:0012086","endosome/lysosome",26,4,5.42,"0.82968","1.00e+00"
"LION:0002922","C18:1",43,7,8.97,"0.83474","1.00e+00"
"LION:0000010","glycerophosphocholines [GP01]",32,5,6.67,"0.83669","1.00e+00"
"LION:0002967","polyunsaturated fatty acid",112,20,23.35,"0.85017","1.00e+00"
"LION:0002959","fatty acid with 20 carbons",58,9,12.09,"0.89665","1.00e+00"
"LION:0002927","C20:2",10,1,2.09,"0.90610","1.00e+00"
"LION:0080977","low lateral diffusion",10,1,2.09,"0.90610","1.00e+00"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",19,2,3.96,"0.93353","1.00e+00"
"LION:0000467","contains ether-bond",19,2,3.96,"0.93353","1.00e+00"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",12,1,2.5,"0.94192","1.00e+00"
"LION:0001738","high transition temperature",12,1,2.5,"0.94192","1.00e+00"
"LION:0001737","average transition temperature",20,2,4.17,"0.94557","1.00e+00"
"LION:0002929","C20:4",20,2,4.17,"0.94557","1.00e+00"
"LION:0000030","diacylglycerophosphocholines [GP0101]",28,3,5.84,"0.95541","1.00e+00"
"LION:0000465","neutral intrinsic curvature",28,3,5.84,"0.95541","1.00e+00"
"LION:0002928","C20:3",15,1,3.13,"0.97188","1.00e+00"
"LION:0002970","fatty acid with 2 double bonds",39,4,8.13,"0.97933","1.00e+00"
"LION:0001740","above average transition temperature",19,1,3.96,"0.98941","1.00e+00"
"LION:0002923","C18:2",29,2,6.05,"0.99180","1.00e+00"
"LION:0080970","average bilayer thickness",21,1,4.38,"0.99352","1.00e+00"
"LION:0080979","high lateral diffusion",21,1,4.38,"0.99352","1.00e+00"
"LION:0001736","low transition temperature",22,1,4.59,"0.99494","1.00e+00"
"LION:0080982","above average lateral diffusion",23,1,4.8,"0.99605","1.00e+00"
"LION:0001741","below average transition temperature",25,1,5.21,"0.99760","1.00e+00"
"LION:0012011","lipid storage",245,38,51.09,"0.99926","1.00e+00"
"LION:0012084","lipid droplet",245,38,51.09,"0.99926","1.00e+00"
"LION:0000622","triacylglycerols [GL0301]",231,35,48.17,"0.99931","1.00e+00"
"LION:0012080","endoplasmic reticulum (ER)",126,10,26.27,"1.00000","1.00e+00"
"LION:0000003","glycerophospholipids [GP]",118,7,24.61,"1.00000","1.00e+00"
"LION:0000095","headgroup with positive charge / zwitter-ion",130,8,27.11,"1.00000","1.00e+00"
"LION:0000011","glycerophosphoethanolamines [GP02]",86,2,17.93,"1.00000","1.00e+00"
"LION:0012081","mitochondrion",86,2,17.93,"1.00000","1.00e+00"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",24,0,5,"1.00000","1.00e+00"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",37,0,7.72,"1.00000","1.00e+00"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",6,0,1.25,"1.00000","1.00e+00"
"LION:0000182","PC(36:2)",3,0,0.63,"1.00000","1.00e+00"
"LION:0000737","TG(46:1)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000742","TG(48:0)",3,0,0.63,"1.00000","1.00e+00"
"LION:0000743","TG(48:1)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000744","TG(48:2)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000751","TG(50:1)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000752","TG(50:2)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000760","TG(52:1)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000761","TG(52:2)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000762","TG(52:3)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000763","TG(52:4)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000773","TG(54:2)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000774","TG(54:3)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000775","TG(54:4)",7,0,1.46,"1.00000","1.00e+00"
"LION:0000776","TG(54:5)",7,0,1.46,"1.00000","1.00e+00"
"LION:0000777","TG(54:6)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000786","TG(56:3)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000787","TG(56:4)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000788","TG(56:5)",8,0,1.67,"1.00000","1.00e+00"
"LION:0000789","TG(56:6)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000790","TG(56:7)",6,0,1.25,"1.00000","1.00e+00"
"LION:0000791","TG(56:8)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000804","TG(58:7)",5,0,1.04,"1.00000","1.00e+00"
"LION:0000805","TG(58:8)",4,0,0.83,"1.00000","1.00e+00"
"LION:0000806","TG(58:9)",3,0,0.63,"1.00000","1.00e+00"
"LION:0001734","contains vinyl ether bond (plasmalogen)",37,0,7.72,"1.00000","1.00e+00"
"LION:0001735","very low transition temperature",3,0,0.63,"1.00000","1.00e+00"
"LION:0001739","very high transition temperature",7,0,1.46,"1.00000","1.00e+00"
"LION:0015929","PE(P-34:1)",3,0,0.63,"1.00000","1.00e+00"
"LION:0015938","PE(P-36:2)",3,0,0.63,"1.00000","1.00e+00"
"LION:0015939","PE(P-36:3)",3,0,0.63,"1.00000","1.00e+00"
"LION:0015967","PE(P-38:4)",3,0,0.63,"1.00000","1.00e+00"
"LION:0015969","PE(P-38:5)",3,0,0.63,"1.00000","1.00e+00"
"LION:0080968","very low bilayer thickness",3,0,0.63,"1.00000","1.00e+00"
"LION:0080969","low bilayer thickness",17,0,3.54,"1.00000","1.00e+00"
"LION:0080973","below average bilayer thickness",19,0,3.96,"1.00000","1.00e+00"
"LION:0080978","average lateral diffusion",22,0,4.59,"1.00000","1.00e+00"
"LION:0080980","very high lateral diffusion",3,0,0.63,"1.00000","1.00e+00"
"LION:0143661","TG(45:0)",3,0,0.63,"1.00000","1.00e+00"
"LION:0143673","TG(49:0)",4,0,0.83,"1.00000","1.00e+00"
"LION:0143674","TG(49:1)",4,0,0.83,"1.00000","1.00e+00"
"LION:0143675","TG(49:2)",6,0,1.25,"1.00000","1.00e+00"
"LION:0143685","TG(51:2)",5,0,1.04,"1.00000","1.00e+00"
"LION:0143686","TG(51:3)",3,0,0.63,"1.00000","1.00e+00"
"LION:0143687","TG(51:4)",4,0,0.83,"1.00000","1.00e+00"
"LION:0143696","TG(53:3)",3,0,0.63,"1.00000","1.00e+00"
"LION:0143697","TG(53:4)",4,0,0.83,"1.00000","1.00e+00"
