pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Reactome,37,SPC24;BUB1;KNTC1;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;NUP37;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;ZW10;BIRC5;NSL1;NDC80;NUF2;CDC20;BUB3;PLK1;SKA1;NUDC;CDCA8;KIF2C;PMF1;DSN1;BUB1B;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC,96 (96),2.58e-28,9.88e-26,0,,0 (0),1,1,2.58e-28,9.88e-26
Amplification of signal from the kinetochores,Reactome,37,SPC24;BUB1;KNTC1;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;NUP37;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;ZW10;BIRC5;NSL1;NDC80;NUF2;CDC20;BUB3;PLK1;SKA1;NUDC;CDCA8;KIF2C;PMF1;DSN1;BUB1B;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC,96 (96),2.58e-28,9.88e-26,0,,0 (0),1,1,2.58e-28,9.88e-26
Retinoblastoma Gene in Cancer,Wikipathways,34,MSH6;HDAC1;RBBP4;WEE1;ANLN;CCNB2;POLA1;POLE;SMC1A;H2AFZ;SUV39H1;BARD1;CDC25A;MCM3;HMGB1;HMGB2;E2F1;MCM6;CDT1;STMN1;CDK1;CCNA2;SMC2;RFC5;CCNB1;RPA1;TTK;PLK4;CDC7;TOP2A;CDK2;DNMT1;CDK4;CDK6,89 (89),5.95e-26,2.1e-23,0,,0 (0),1,1,5.95e-26,2.1e-23
RHO GTPases Activate Formins,Reactome,37,SPC24;BUB1;KNTC1;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;NUP37;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;BIRC5;NSL1;NDC80;NUF2;ZW10;BUB3;PLK1;SKA1;NUDC;CDCA8;KIF2C;PMF1;DSN1;BUB1B;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC,123 (123),7.16e-24,2.19e-21,1,HMDB00538,7 (7),0.0505,0.173,2.07e-23,5.24e-21
RHO GTPase Effectors,Reactome,56,SPC24;NDC80;BUB1;KNTC1;HIST1H3F;HIST1H2AK;HIST1H2AC;ZWILCH;CENPT;HIST1H2BG;KIF2C;HIST1H2BF;PPP2R5D;HIST1H2BH;CENPN;HIST1H3C;PRC1;NUP107;INCENP;CENPE;CENPF;HIST1H4D;HIST1H4F;NUP37;ZW10;RANGAP1;SPC25;CKAP5;NUP133;H2AFX;H2AFZ;KIF14;HIST1H2BB;BIRC5;HIST1H3I;NSL1;MAD1L1;PLK1;NUF2;HIST1H2AB;BUB1B;CDC20;BUB3;CDC25C;SKA1;NUDC;CDCA8;CIT;PMF1;DSN1;IQGAP3;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC,300 (301),3.97e-24,1.3e-21,1,HMDB00538,24 (27),0.163,0.38,3.67e-23,8.44e-21
Cell cycle - Homo sapiens (human),KEGG,35,TGFB1;CDK1;FZR1;CDK2;WEE1;ANAPC1;RBL1;CDC16;SMC1A;BUB1;BUB1B;MAD2L1;MCM2;MCM3;E2F1;MCM5;MCM6;E2F4;CDC25C;CDC23;HDAC2;CDC20;BUB3;CDC25A;PLK1;ESPL1;TTK;CCNB2;CDK6;CDK4;MAD1L1;HDAC1;CCNA2;CCNB1;CDC7,124 (124),1.29e-21,3.7e-19,0,,0 (0),1,1,1.29e-21,3.7e-19
Mitotic Prophase,Reactome,37,HIST1H3F;HIST1H2AK;NUP188;MASTL;NCAPD3;HIST1H2AB;SET;HIST1H2BG;HIST1H2BF;HIST1H2BH;NDC1;HIST1H3C;NUP107;HIST1H4D;HIST1H4F;CCNB2;HIST1H2AC;NUP37;NUP210;NUP50;NUP88;NUP133;SMC4;H2AFX;H2AFZ;TMPO;HIST1H2BB;HIST1H3I;NUP62;NUP214;CDK1;SMC2;PLK1;NCAPG2;BANF1;CCNB1;NUP205,143 (144),2.41e-21,6.52e-19,1,HMDB00538,16 (16),0.112,0.28,1.37e-20,2.88e-18
Cell Cycle,Wikipathways,33,TGFB1;BUB1;CCNB1;FZR1;HDAC1;RBL1;CDK2;WEE1;ANAPC1;CCNB2;CDC16;SMC1A;MAD1L1;MCM2;MCM3;E2F1;MCM5;MCM6;E2F4;CDC25C;CDK1;CCNA2;CDC20;BUB3;CDC25A;PLK1;ESPL1;TTK;CDC7;CDC23;HDAC2;CDK4;CDK6,120 (120),4.68e-20,1.19e-17,0,,0 (0),1,1,4.68e-20,1.19e-17
Signaling by Rho GTPases,Reactome,61,SPC24;BUB3;ZW10;BUB1;KNTC1;HIST1H3F;HIST1H2AK;HIST1H2AC;ZWILCH;RANGAP1;HIST1H2BG;KIF2C;HIST1H2BF;PPP2R5D;HIST1H2BH;IQGAP3;CENPT;CENPN;HIST1H3C;NUP107;NDC80;CENPE;CENPF;HIST1H4D;HIST1H4F;H2AFZ;AURKB;NUP37;ECT2;MAD1L1;BUB1B;CKAP5;NUP133;H2AFX;RACGAP1;KIF14;HIST1H2BB;BIRC5;HIST1H3I;NSL1;PLK1;NUF2;OCRL;INCENP;HIST1H2AB;CDC20;PLEKHG2;PRC1;ARHGAP11A;CDC25C;SKA1;NUDC;CDCA8;CIT;PMF1;DSN1;SPC25;RCC2;MAD2L1;SPDL1;PPP1CC,430 (435),8.27e-20,2e-17,1,HMDB00538,24 (27),0.163,0.38,6.32e-19,1.23e-16
S Phase,Reactome,26,PDS5B;LIG1;CKS1B;FZR1;WEE1;ANAPC1;POLE;POLA1;POLD1;CDC16;ANAPC15;SMC1A;UBE2C;RFC5;MCM2;MCM3;MCM5;MCM6;CDT1;CDK2;CDC25A;RPA1;CDCA5;CDC23;CCNA2;CDK4,103 (103),4.52e-15,7.98e-13,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,17 (17),4.53e-06,0.000461,9.48e-19,1.71e-16
PLK1 signaling events,PID,21,KIF20A;SPC24;PRC1;PLK1;AURKA;ECT2;WEE1;CCNB1;CENPE;FZR1;ODF2;INCENP;NDC80;CDK1;NUDC;BORA;BUB1;CDC20;BUB1B;TPX2;CDC25C,44 (44),6.11e-19,1.4e-16,0,,1 (1),1,1,2.62e-17,4.42e-15
G2/M Checkpoints,Reactome,30,BLM;HIST1H2BG;BRIP1;HIST1H2BF;HIST1H2BH;EXO1;BABAM1;HIST1H4D;HIST1H4F;CCNB2;RNF168;TOPBP1;BARD1;H2AFX;RFC5;HIST1H2BB;MCM2;MCM3;MCM5;MCM6;CDK1;MCM10;CDC25A;CDC25C;RPA1;RHNO1;WEE1;CDK2;CCNB1;CDC7,119 (120),3.51e-17,7.32e-15,1,HMDB00538,3 (3),0.0219,0.134,3.29e-17,5.19e-15
DNA Replication,Reactome,21,RFC5;MCM2;RPA1;ANAPC1;ANAPC15;MCM3;UBE2C;POLA1;MCM6;POLD1;CDC16;POLE;LIG1;CDT1;MCM5;CDC23;CDK2;CCNA2;FZR1;MCM10;CDC7,80 (80),8.78e-13,1.09e-10,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,14 (14),1.93e-06,0.000275,7.1e-17,1.06e-14
Aurora B signaling,PID,20,KIF20A;SMC2;INCENP;NDC80;NCAPH;AURKA;CDCA8;NSUN2;KIF2C;RACGAP1;CBX5;SMC4;STMN1;NCAPG;PPP2R5D;BIRC5;BUB1;AURKB;PPP1CC;NCAPD2,41 (41),2.44e-18,5.34e-16,0,,2 (2),1,1,1.01e-16,1.43e-14
Chromosome Maintenance,Reactome,23,LIG1;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;CENPT;HIST1H2BH;CENPN;RBBP4;HIST1H4F;POLA1;POLD1;POLE;HIST1H2AK;H2AFX;H2AFZ;HIST1H2BB;OIP5;RFC5;NHP2;RPA1;RUVBL2;HIST1H4D,111 (112),1.49e-11,1.49e-09,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,13 (15),1.39e-06,0.000214,8.13e-16,1.08e-13
Synthesis of DNA,Reactome,19,RFC5;MCM2;RPA1;ANAPC1;POLE;MCM3;UBE2C;MCM5;FZR1;POLD1;CDC16;ANAPC15;CDT1;POLA1;CDC23;CDK2;CCNA2;MCM6;LIG1,75 (75),2.15e-11,2.06e-09,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,13 (13),1.39e-06,0.000214,1.16e-15,1.47e-13
APC/C-mediated degradation of cell cycle proteins,Reactome,18,BUB3;PLK1;AURKA;ANAPC1;CCNB1;UBE2C;NEK2;CDC16;ANAPC15;CDK2;MAD2L1;CDK1;CDC23;CCNA2;FZR1;AURKB;BUB1B;CDC20,41 (41),1.32e-15,2.43e-13,1,HMDB00538,4 (4),0.0292,0.138,1.5e-15,1.72e-13
Regulation of mitotic cell cycle,Reactome,18,BUB3;PLK1;AURKA;ANAPC1;CCNB1;UBE2C;NEK2;CDC16;ANAPC15;CDK2;MAD2L1;CDK1;CDC23;CCNA2;FZR1;AURKB;BUB1B;CDC20,41 (41),1.32e-15,2.43e-13,1,HMDB00538,4 (4),0.0292,0.138,1.5e-15,1.72e-13
Influenza Infection,Reactome,18,TGFB1;NUP107;NUP50;RAN;KPNB1;NUP133;GTF2F1;NUP62;CANX;NUP214;NUP188;NUP210;NDC1;NUP37;KPNA1;NUP205;KPNA2;NUP88,63 (63),7.92e-12,8.45e-10,3,HMDB00285;HMDB00538;HMDB00082,6 (9),6.56e-06,0.000498,2e-15,2.2e-13
Telomere Maintenance,Reactome,19,RFC5;NHP2;RPA1;H2AFX;H2AFZ;HIST1H4D;HIST1H4F;LIG1;POLA1;HIST1H2AB;POLD1;RUVBL2;POLE;HIST1H2BG;HIST1H2AC;HIST1H2AK;HIST1H2BF;HIST1H2BH;HIST1H2BB,83 (84),1.45e-10,9.96e-09,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,13 (14),1.39e-06,0.000214,7.48e-15,7.88e-13
Gene expression (Transcription),Reactome,103,SMARCB1;NUP50;SETD1A;BRIP1;NUP37;PHF19;NOC2L;INTS1;BARD1;E2F7;NCBP1;NUP62;SSRP1;CDC7;BLM;AURKA;HIST1H2AK;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H3C;HIST1H3I;INTS2;CSTF2;EHMT2;HIST1H4D;HIST1H4F;H2AFZ;SRSF4;SUV39H1;NUP210;MLH1;FIP1L1;DGCR8;TAF1;CPSF2;TAF9;TET3;DEK;RHNO1;RBBP4;DNMT1;DDX39B;RAD51;HSPD1;FANCD2;HIST1H3F;NUP188;RAN;MYBBP1A;HDAC6;IPO8;NUP107;MED24;INTS7;RBL1;NUP88;TOPBP1;HIPK2;BIRC5;E2F1;E2F4;CDK2;PIWIL2;NUP214;RFC5;ATAD2;TFAM;E2F8;CCNA2;CCNB1;NUP205;TGFB1;SRRT;NCOR2;LRPPRC;GTF2F1;INTS5;NDC1;GTF3A;TRIM28;CBX5;FANCI;TPX2;NUP133;EXO1;SMARCA4;H2AFX;SMARCC1;UHRF1;HIST1H2BB;CDK1;HDAC2;CDC25C;RPA1;SNRPE;HDAC1;MYB;CDK4;AURKB;CDK6,1364 (1373),1.18e-12,1.42e-10,4,HMDB03337;HMDB00538;HMDB00285;HMDB00082,45 (66),0.00025,0.0086,1.08e-14,1.08e-12
Influenza Life Cycle,Reactome,16,NUP107;NUP50;RAN;KPNB1;NUP133;GTF2F1;NUP62;CANX;NUP214;NUP188;NUP210;NDC1;NUP37;KPNA1;NUP205;NUP88,53 (53),4.61e-11,3.71e-09,3,HMDB00285;HMDB00538;HMDB00082,6 (9),6.56e-06,0.000498,1.11e-14,1.08e-12
Transcriptional regulation by small RNAs,Reactome,27,HIST1H3F;NUP50;RAN;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;NDC1;IPO8;HIST1H3C;NUP107;HIST1H4D;HIST1H4F;NUP37;NUP210;HIST1H2AK;NUP88;NUP133;H2AFX;H2AFZ;HIST1H2BB;HIST1H3I;NUP62;NUP214;NUP188;NUP205,106 (107),1.04e-15,2.07e-13,0,,1 (3),1,1,3.69e-14,3.46e-12
Cellular responses to stress,Reactome,46,NUP88;HIST1H3I;HIST1H3F;HIST1H2AK;UBE2C;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;NDC1;HDAC6;HIST1H3C;NUP107;EHMT2;HIST1H4D;HIST1H4F;ANAPC1;NUP37;CDC16;ANAPC15;EGLN1;NUP210;NUP50;HIST1H1D;HIST1H1E;NUP133;H2AFX;H2AFZ;HIST1H2BB;E2F1;CDK2;NUP62;NUP214;NUP188;FZR1;RPA1;CDK6;FKBP4;RBBP4;STIP1;CDC23;CCNA2;CDK4;NUP205;HSP90AB1,344 (345),3.61e-14,5.72e-12,2,HMDB03337;HMDB00538,39 (48),0.0323,0.149,4.12e-14,3.72e-12
Mitotic G1-G1/S phases,Reactome,25,CKS1B;HDAC1;RBBP4;WEE1;RBL1;POLA1;POLE;MCM2;MCM3;E2F1;MCM5;MCM6;E2F4;CDT1;CDK1;MCM10;CDC25A;CCNB1;RPA1;CDC7;TOP2A;CDK2;CCNA2;CDK4;CDK6,104 (104),5.21e-14,7.97e-12,1,HMDB00538,4 (4),0.0292,0.138,5.33e-14,4.65e-12
Condensation of Prophase Chromosomes,Reactome,22,HIST1H3F;HIST1H2AK;NCAPD3;HIST1H2AB;SET;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H3C;HIST1H3I;HIST1H4D;HIST1H4F;SMC4;H2AFX;H2AFZ;HIST1H2BB;HIST1H2AC;CDK1;SMC2;PLK1;NCAPG2;CCNB1,76 (77),2.69e-14,4.4e-12,1,HMDB00538,10 (10),0.0714,0.205,6.69e-14,5.64e-12
Senescence-Associated Secretory Phenotype (SASP),Reactome,25,HIST1H3F;HIST1H2AK;HIST1H2AC;FZR1;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H3C;HIST1H3I;EHMT2;HIST1H4D;HIST1H4F;ANAPC1;CDC16;ANAPC15;UBE2C;H2AFX;H2AFZ;HIST1H2BB;CDK2;HIST1H2AB;CDC23;CCNA2;CDK4;CDK6,111 (112),2.58e-13,3.7e-11,1,HMDB00538,4 (4),0.0292,0.138,2.52e-13,2.01e-11
Gene Silencing by RNA,Reactome,29,HIST1H3F;NUP50;DGCR8;RAN;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;NDC1;IPO8;HIST1H3C;NUP107;HIST1H4D;HIST1H4F;NUP37;NUP210;HIST1H2AK;NUP88;NUP133;H2AFX;H2AFZ;HIST1H2BB;HIST1H3I;NUP62;NUP214;NUP188;PIWIL2;NUP205,133 (134),7.58e-15,1.29e-12,0,,5 (8),1,1,2.54e-13,2.01e-11
Homology Directed Repair,Reactome,28,RAD51;BLM;RAD51AP1;EME1;HIST1H2BG;BRIP1;HIST1H2BF;HIST1H2BH;EXO1;BABAM1;HIST1H4D;HIST1H4F;POLD1;POLE;RNF168;TOPBP1;BARD1;H2AFX;RFC5;HIST1H2BB;TIMELESS;POLQ;RPA1;GEN1;RHNO1;PALB2;CDK2;CCNA2,139 (141),1.84e-13,2.73e-11,1,HMDB00538,8 (10),0.0575,0.186,3.51e-13,2.69e-11
Regulation of APC/C activators between G1/S and early anaphase,Reactome,15,BUB3;PLK1;ANAPC1;UBE2C;FZR1;CDC16;ANAPC15;MAD2L1;CDK1;CDC23;CDK2;CCNA2;CCNB1;BUB1B;CDC20,36 (36),8.32e-13,1.06e-10,1,HMDB00538,2 (2),0.0147,0.119,4.03e-13,3e-11
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA),Reactome,27,RAD51;BLM;RAD51AP1;EME1;HIST1H2BG;BRIP1;HIST1H2BF;HIST1H2BH;EXO1;BABAM1;HIST1H4D;HIST1H4F;POLD1;POLE;RNF168;TOPBP1;BARD1;H2AFX;HIST1H2BB;TIMELESS;RFC5;RPA1;GEN1;RHNO1;PALB2;CDK2;CCNA2,133 (135),4.12e-13,5.73e-11,1,HMDB00538,8 (10),0.0575,0.186,7.67e-13,5.54e-11
Viral Messenger RNA Synthesis,Reactome,12,NUP107;NUP50;NUP133;NUP37;GTF2F1;NUP62;NUP214;NUP188;NUP210;NDC1;NUP205;NUP88,42 (42),2.55e-08,1.04e-06,3,HMDB00285;HMDB00538;HMDB00082,4 (5),1.32e-06,0.000214,1.08e-12,7.58e-11
DNA Double-Strand Break Repair,Reactome,30,RAD51;BLM;RAD51AP1;EME1;HIST1H2BG;BRIP1;HIST1H2BF;HIST1H2BH;EXO1;BABAM1;HIST1H4D;HIST1H4F;POLD1;POLE;RNF168;PAXIP1;TOPBP1;BARD1;H2AFX;RFC5;HIST1H2BB;TIMELESS;POLQ;RPA1;GEN1;RHNO1;PALB2;CDK2;CCNA2;KPNA2,167 (169),5.89e-13,7.95e-11,1,HMDB00538,12 (14),0.0851,0.228,1.59e-12,1.08e-10
Influenza Viral RNA Transcription and Replication,Reactome,12,NUP107;NUP50;NUP133;NUP37;GTF2F1;NUP62;NUP214;NUP188;NUP210;NDC1;NUP205;NUP88,44 (44),4.54e-08,1.74e-06,3,HMDB00285;HMDB00538;HMDB00082,4 (5),1.32e-06,0.000214,1.89e-12,1.26e-10
