pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Signal Transduction,Reactome,136,CYLD;APH1B;HGF;ARHGAP32;PDE1A;ATP6V1E1;SQSTM1;ARHGAP24;ATP6V0A1;PDE6A;PDGFA;PDGFRA;ZFYVE16;TNFSF10;KDM4C;CXCL10;PPP1R12A;RPS6KA2;RPS6KA3;MKRN1;INSR;LRRK2;DNER;CD55;PDGFD;GPR55;TAX1BP1;ARHGEF11;NCF2;DGKH;ITGA3;PTCH1;MDM2;SSTR4;F2RL1;CLIP1;RTP4;MEF2C;RYK;STAT1;TIAM2;DDX5;FLT4;NRP2;NRP1;JAK1;CFLAR;ADORA2A;BMPR1A;NDEL1;AGO4;RRAGD;BRAF;FGD4;PIK3CA;RAPGEF3;CXCR4;PIK3CG;SDC3;SRGAP1;RASGRP3;BTK;GRAP2;GPC4;PLCB4;SPOP;FGFR2;ALDH1A1;MMP2;PRKAG2;PEBP1;GPR132;SDC1;ITPR2;SDC4;ARHGEF6;RASAL1;APBB1IP;SEL1L;FOXO1;AKT3;SMPD3;RAP1B;GPR65;NR3C1;CAMK2A;CAMK2D;GRK5;PRR5;ARHGAP6;CASP3;ARHGEF12;BIRC2;RDH12;LAMC1;STAM;BCAR1;TEC;SKIL;GNG2;TBL1XR1;CXCL3;S1PR1;LEPR;EDNRA;MKNK1;ARPC2;TGFBR1;RHOQ;NCOR1;GTF2A1;IGF1R;PPP3CC;SRMS;LRIG1;RHPN2;ABI2;CD28;CD80;TLE4;RHOBTB1;ARHGAP12;F11R;PAK1;WNT10A;NCOA1;PRKCA;ATF1;IRS2;PRKCZ;MAML2;SYVN1;MAPK11;IL5RA;EPAS1;ARHGAP31,2633 (2647),0.218,0.928,16,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038;HMDB00220;HMDB02226;HMDB01201;HMDB01397;HMDB01388;HMDB00806;HMDB01043;HMDB04951;HMDB00295;HMDB00673;HMDB02925;HMDB00658#HMDB10370;HMDB01999,192 (271),9.49e-10,2.7e-07,4.82e-09,1.11e-06
Signaling by GPCR,Reactome,41,JAK1;ADORA2A;RTP4;GPR132;AKT3;PDE6A;PPP3CC;FGD4;PIK3CA;CXCL10;CXCR4;PIK3CG;GPR65;RPS6KA2;GRK5;GNG2;GPR55;RPS6KA3;CD55;ARHGEF12;WNT10A;SDC3;PRKCA;SSTR4;DGKH;PLCB4;PTCH1;PDE1A;ARHGEF11;F2RL1;CXCL3;RDH12;S1PR1;SDC1;IL5RA;SDC4;ARHGEF6;EDNRA;TIAM2;GPC4;ITPR2,1234 (1240),0.998,1,15,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038;HMDB00220;HMDB02226;HMDB01201;HMDB02925;HMDB01388;HMDB00806;HMDB01043;HMDB00295;HMDB00673;HMDB01397;HMDB00658#HMDB10370;HMDB01999,148 (213),2.42e-10,1.15e-07,5.6e-09,1.18e-06
the visual cycle I (vertebrates),HumanCyc,1,RDH12,17 (17),0.571,1,9,HMDB02003;HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,36 (58),5.58e-10,1.7e-07,7.28e-09,1.42e-06
RORA activates gene expression,Wikipathways,0,,2 (2),1,1,5,HMDB01388;HMDB00673;HMDB01043;HMDB01999;HMDB00220,5 (5),4.37e-10,1.55e-07,9.85e-09,1.78e-06
Immune System,Reactome,133,IL10;CYLD;LGMN;HGF;SP100;ATP6V1E1;IL18;ATP6V0A1;TRIM25;GBP7;CD55;RPS6KA2;RPS6KA3;B2M;MKRN1;BLNK;RAP1GAP2;GBP2;IRF1;IRF2;IRF4;IRF5;IRF6;PGLYRP2;LY96;TNFRSF17;ITGAL;CREG1;ADAM8;ITGB7;MEF2C;STAT1;YPEL5;DDX3X;MAP3K3;ITPR2;CISH;JAK1;ZBP1;PAK1;MAPK12;TXNDC5;ATP11B;GBP4;GBP5;SERPING1;PIK3CA;RAPGEF3;SQSTM1;RASGRP3;TAX1BP1;GRAP2;NLRC5;AP1S2;PYGL;IRAK3;EIF4E3;ATP11A;UNC93B1;PLCG2;PLD2;TAP1;MNDA;RAB5B;SDC1;CD200;ARMC8;MRC1;MGAM;AKT3;RAP1B;RAP1GAP;ATG7;PILRA;RCHY1;CAMK2A;CAMK2D;PRDX4;GMFG;CASP1;CASP3;FBXL20;RAB3D;PELI1;OAS3;TRIM39;SAMHD1;IL18BP;TEC;NLRP3;PRR5;ARPC2;TXNIP;ASB13;BTK;ORMDL3;RNASEL;KLHL25;IL5RA;ABI2;CD28;CD80;GSDMD;TNFSF13B;EIF4A2;BIRC2;TLR5;XDH;SLPI;TNFRSF13C;CD274;TNFRSF13B;RNF34;CD74;CD79A;CD79B;CARD11;ATF1;XAF1;IRS2;CTLA4;PTPN22;SLAMF7;MAPK11;NCF2;MAPK13;HERC4;CTSO;CTSS;CD96;PRLR;IL27;PDCD1LG2,1827 (1840),5.46e-07,0.000501,5,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB04951;HMDB00658#HMDB10370;HMDB01201;HMDB08048#HMDB08036#HMDB08038,56 (136),0.000992,0.0481,1.21e-08,1.97e-06
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,0,,9 (9),1,1,9,HMDB02003;HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,36 (59),5.58e-10,1.7e-07,1.24e-08,1.97e-06
VEGF,INOH,29,JAK1;TGFBR1;AKT3;BMPR1A;FLT4;IGF1R;MAPK12;BRAF;PDGFRA;PIK3CA;CAMK2A;CAMK2D;RPS6KA2;GRK5;BTK;INSR;RPS6KA3;PAK1;PRKCA;PRKCZ;FGFR2;PLCG2;PRKAG2;MAPK11;MAPK13;TEC;RYK;MAP3K3;MKNK1,187 (188),2.63e-08,4.03e-05,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,3 (4),0.0423,0.338,2.41e-08,3.59e-06
Rap1 signaling pathway - Homo sapiens (human),KEGG,28,RAPGEF5;ADORA2A;RASSF5;HGF;AKT3;RAP1B;RAP1GAP;IGF1R;MAPK12;BRAF;PDGFA;PDGFRA;PIK3CA;RAPGEF3;RASGRP3;PDGFD;INSR;PRKCA;MAPK13;PLCB4;PRKCZ;FGFR2;BCAR1;MAPK11;ITGAL;APBB1IP;FLT4;FARP2,206 (206),7.61e-07,0.000582,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,5 (5),0.00193,0.073,3.13e-08,4.41e-06
Circadian Clock,Wikipathways,2,NR1D1;CLOCK,10 (10),0.0818,0.668,5,HMDB00220;HMDB00673;HMDB01043;HMDB01999;HMDB01388,8 (9),2.37e-08,5.33e-06,4.09e-08,5.45e-06
Activation of gene expression by SREBF (SREBP),Wikipathways,0,,20 (20),1,1,5,HMDB00220;HMDB00673;HMDB01999;HMDB01043;HMDB01388,6 (6),2.59e-09,6.92e-07,5.39e-08,6.82e-06
Incretin synthesis_ secretion_ and inactivation,Wikipathways,0,,2 (2),1,1,7,HMDB10384;HMDB00220;HMDB02226;HMDB02925;HMDB01388;HMDB00806;HMDB01999,19 (22),2.79e-09,7e-07,5.76e-08,6.95e-06
AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),KEGG,18,PRKCA;COL3A1;PLCD3;MAPK13;FOXO1;TGFBR1;PIK3CA;AKT3;COL1A2;STAT1;MAPK11;PRKCZ;MMP2;PLCG2;PLCB4;MAPK12;COL1A1;CASP3,99 (99),1.11e-06,0.00064,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,6 (10),0.00287,0.0845,6.58e-08,7.57e-06
G alpha (q) signalling events,Reactome,13,F2RL1;PRKCA;GPR132;GPR65;DGKH;PLCB4;GRK5;EDNRA;RPS6KA2;GNG2;ITPR2;PIK3CA;RPS6KA3,213 (213),0.236,0.973,9,HMDB00295;HMDB00220;HMDB02226;HMDB01201;HMDB02925;HMDB01388;HMDB00806;HMDB01043;HMDB01999,52 (63),1.87e-08,4.44e-06,8.95e-08,9.85e-06
G alpha (q) signalling events,Wikipathways,0,,0 (0),1,1,8,HMDB00295;HMDB00220;HMDB02226;HMDB01201;HMDB02925;HMDB01388;HMDB00806;HMDB01999,42 (52),5.96e-08,1.11e-05,5.96e-08,1.11e-05
Transport of small molecules,Reactome,32,SEL1L;SLC9A9;ATP6V1E1;SLC44A1;ATP6V0A1;ATP2C1;SLC12A2;SLC12A4;ABCA6;ABCA5;EMB;SGK1;CAMK2A;CAMK2D;DERL3;GNG2;ATP11B;SLC26A11;CP;SLC39A4;SLC13A5;ADD3;ATP11A;SLC46A1;ANO10;ATP9A;ABCD2;ATP1B3;SLC40A1;ATP8B2;SLC3A2;MCOLN2,664 (666),0.545,1,14,HMDB10384;HMDB00288;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB02003;HMDB00220;HMDB01201;HMDB01397;HMDB00806;HMDB02212;HMDB00158;HMDB00159;HMDB00673;HMDB08048#HMDB08036#HMDB08038;HMDB00658#HMDB10370,177 (226),3.32e-08,7.09e-06,3.41e-07,3.59e-05
EPO signaling,INOH,29,JAK1;TGFBR1;AKT3;BMPR1A;FLT4;IGF1R;MAPK12;BRAF;PDGFRA;PIK3CA;CAMK2A;CAMK2D;RPS6KA2;GRK5;BTK;INSR;RPS6KA3;PAK1;PRKCA;PRKCZ;FGFR2;PRKAG2;MAPK11;MAPK13;TEC;RYK;STAT1;MAP3K3;MKNK1,185 (186),2.06e-08,4.03e-05,0,,0 (2),1,1,2.06e-08,4.03e-05
Cytokine Signaling in Immune system,Reactome,51,CISH;JAK1;HGF;CASP1;SP100;IL5RA;IL18;RNASEL;TRIM25;GBP4;GBP5;GBP7;CAMK2D;PIK3CA;SQSTM1;CAMK2A;TNFSF13B;IL10;RPS6KA2;RPS6KA3;EIF4A2;B2M;GBP2;BLNK;MAPK11;TNFRSF13C;CASP3;TNFRSF13B;BIRC2;PELI1;IRF1;OAS3;IRAK3;IRF4;IRF5;IRF6;EIF4E3;ATF1;SAMHD1;IRS2;TEC;TNFRSF17;IRF2;SDC1;MEF2C;PRLR;XAF1;STAT1;MAP3K3;IL18BP;IL27,458 (458),2.33e-08,4.03e-05,0,,7 (27),1,1,4.32e-07,4.38e-05
JAK STAT pathway and regulation,INOH,36,IL10;JAK1;TGFBR1;PAK1;AKT3;BMPR1A;FLT4;IL18;IGF1R;MAPK12;BRAF;PDGFRA;TNFSF10;CAMK2A;CAMK2D;PSMA3;GRK5;BTK;RPS6KA2;INSR;RPS6KA3;PSMB9;PRKCA;PRKCZ;FGFR2;PRKAG2;MAPK11;MAPK13;TEC;IL5RA;LEPR;PRLR;RYK;STAT1;MAP3K3;MKNK1,309 (310),9.79e-07,0.00064,1,HMDB01201,2 (2),0.0284,0.317,5.11e-07,4.98e-05
IL-7 signaling,INOH,28,JAK1;TGFBR1;AKT3;BMPR1A;FLT4;IGF1R;MAPK12;BRAF;PDGFRA;PIK3CA;CAMK2A;CAMK2D;RPS6KA2;GRK5;BTK;INSR;RPS6KA3;PAK1;PRKCA;PRKCZ;FGFR2;PRKAG2;MAPK11;MAPK13;TEC;RYK;MAP3K3;MKNK1,184 (185),6.94e-08,7.96e-05,0,,0 (0),1,1,6.94e-08,7.96e-05
Transport of fatty acids,Reactome,0,,8 (8),1,1,5,HMDB00220;HMDB00673;HMDB02212;HMDB00806;HMDB02003,9 (10),5.28e-08,1.03e-05,9.38e-07,8.48e-05
Transcriptional regulation of white adipocyte differentiation,Wikipathways,0,,15 (15),1,1,5,HMDB01388;HMDB00673;HMDB01999;HMDB01043;HMDB00220,9 (9),5.28e-08,1.03e-05,9.38e-07,8.48e-05
Integrin,INOH,20,COL2A1;BRAF;ITGAL;DOCK5;COL3A1;SDC3;COL5A2;TNXB;SDC1;ITGB7;SDC4;ARHGEF6;RAP1B;COL11A1;NCAN;ITGA3;BCAR1;COL1A1;COL1A2;GPC4,124 (124),2.05e-06,0.00105,1,HMDB01201,2 (2),0.0284,0.317,1.03e-06,8.99e-05
Platelet activation - Homo sapiens (human),KEGG,19,MAPK11;COL3A1;MAPK13;TBXAS1;ARHGEF12;PRKCZ;PIK3CA;PIK3CG;COL1A1;AKT3;PPP1R12A;PLCB4;APBB1IP;BTK;PLCG2;RAP1B;MAPK12;ITPR2;COL1A2,123 (123),7.08e-06,0.00232,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043,14 (15),0.0162,0.245,1.95e-06,0.000164
Free fatty acid receptors,Reactome,0,,5 (5),1,1,6,HMDB00220;HMDB02226;HMDB02925;HMDB01388;HMDB00806;HMDB01999,20 (24),1.79e-07,3.18e-05,2.95e-06,0.00024
Mitochondrial biogenesis,Wikipathways,1,PERM1,17 (17),0.571,1,5,HMDB00220;HMDB00673;HMDB01043;HMDB01999;HMDB01388,12 (14),3.22e-07,5.5e-05,3.04e-06,0.00024
Fcgamma receptor (FCGR) dependent phagocytosis,Wikipathways,0,,0 (0),1,1,5,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043;HMDB01201;HMDB08048#HMDB08036#HMDB08038,16 (18),1.71e-06,0.00027,1.71e-06,0.00027
Signaling by Receptor Tyrosine Kinases,Reactome,41,ADORA2A;APH1B;HGF;NCOR1;AKT3;ATP6V1E1;FLT4;RAP1B;ATP6V0A1;IGF1R;BRAF;PDGFA;ITGA3;PDGFRA;ABI2;PIK3CA;RPS6KA2;RPS6KA3;PDGFD;GRAP2;INSR;PRR5;PAK1;PRKCA;LAMC1;LRIG1;NCF2;ATF1;IRS2;PRKCZ;FGFR2;STAM;BCAR1;TEC;MAPK11;ITPR2;MEF2C;STAT1;MKNK1;NRP2;NRP1,423 (423),1.87e-05,0.00374,3,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00295;HMDB01201,34 (44),0.0118,0.202,3.6e-06,0.000277
PLC beta mediated events,Reactome,4,PDE1A;PRKCA;PLCB4;ITPR2,44 (44),0.164,0.867,5,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201;HMDB01043;HMDB08048#HMDB08036#HMDB08038,17 (19),2.39e-06,0.000352,6.17e-06,0.000453
Metabolism of lipids,Reactome,50,PIKFYVE;HEXA;B3GALNT1;TBXAS1;LPIN1;GDPD5;PHYH;NCOR1;PNPLA2;SMPD3;BMX;SLC44A1;PTPN13;LPCAT2;HACD3;FIG4;EHHADH;PLA2G12A;PIK3CG;LIPH;GDPD3;ORMDL3;PPM1L;AGPAT4;ACOT7;GPCPD1;PON3;NCOA1;PLEKHA1;PLEKHA2;ETNK1;INPP4B;HACD4;TNFAIP8;PLD2;FAR1;PRKAG2;PNPLA7;ALDH3A2;ESYT2;HSD17B11;TBL1XR1;PIK3C2B;PTGIS;ALOX12;PLEKHA8;FAAH;ELOVL7;PCYT1B;PIK3CA,659 (664),0.00111,0.0718,13,HMDB11592#HMDB06750;HMDB10384;HMDB00295;HMDB00220;HMDB04971#HMDB04972#HMDB04974#HMDB04975;HMDB08048#HMDB08036#HMDB08038;HMDB01388;HMDB01043;HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB00673;HMDB00658#HMDB10370;HMDB01999,334 (620),0.000358,0.0204,6.26e-06,0.000453
G-protein mediated events,Reactome,4,PDE1A;PRKCA;PLCB4;ITPR2,45 (45),0.173,0.867,5,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201;HMDB01043;HMDB08048#HMDB08036#HMDB08038,17 (19),2.39e-06,0.000352,6.51e-06,0.000458
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha),Wikipathways,1,TIAM2,41 (41),0.871,1,5,HMDB00220;HMDB00673;HMDB01999;HMDB01043;HMDB01388,13 (15),5.18e-07,8.51e-05,7.04e-06,0.000482
Phospholipid metabolism,Reactome,26,PIKFYVE;LPIN1;GDPD5;PNPLA2;PLEKHA8;BMX;SLC44A1;PTPN13;LPCAT2;PIK3C2B;FIG4;PIK3CA;PLA2G12A;PIK3CG;LIPH;GDPD3;AGPAT4;GPCPD1;PLEKHA1;PLEKHA2;ETNK1;TNFAIP8;PLD2;PNPLA7;INPP4B;PCYT1B,216 (216),1.77e-05,0.00374,3,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,50 (103),0.0331,0.336,8.98e-06,0.000598
Sphingolipid metabolism,Wikipathways,0,,0 (0),1,1,7,HMDB11592#HMDB06750;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB04951;HMDB04971#HMDB04972#HMDB04974#HMDB04975;HMDB08048#HMDB08036#HMDB08038;HMDB00220;HMDB00295,51 (67),4.65e-06,0.000662,4.65e-06,0.000662
Sphingolipid metabolism,Reactome,7,ALDH3A2;HEXA;B3GALNT1;ESYT2;ORMDL3;SMPD3;PPM1L,91 (92),0.153,0.859,7,HMDB11592#HMDB06750;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB04951;HMDB04971#HMDB04972#HMDB04974#HMDB04975;HMDB08048#HMDB08036#HMDB08038;HMDB00220;HMDB00295,52 (68),5.32e-06,0.000732,1.22e-05,0.000794
C-type lectin receptor signaling pathway - Homo sapiens (human),KEGG,17,PAK1;MDM2;IL10;MAPK13;CYLD;ARHGEF12;PIK3CA;IRF1;CASP1;PPP3CC;AKT3;STAT1;MAPK11;PLCG2;NLRP3;MAPK12;ITPR2,104 (104),9.89e-06,0.00267,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,7 (11),0.096,0.441,1.41e-05,0.000894
Opioid Signalling,Wikipathways,0,,0 (0),1,1,5,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043;HMDB01201;HMDB08048#HMDB08036#HMDB08038,21 (22),7.55e-06,0.000921,7.55e-06,0.000921
Transport of vitamins_ nucleosides_ and related molecules,Wikipathways,0,,0 (0),1,1,7,HMDB00288;HMDB02003;HMDB00220;HMDB01397;HMDB00806;HMDB02212;HMDB00673,56 (60),8.85e-06,0.00104,8.85e-06,0.00104
Oxylipin metabolism,Wikipathways,0,,0 (0),1,1,6,HMDB05060;HMDB01388;HMDB01043;HMDB00673;HMDB02925;HMDB01999,37 (64),9.02e-06,0.00104,9.02e-06,0.00104
Neurotrophin signaling pathway - Homo sapiens (human),KEGG,15,MAPK11;BRAF;MAPK13;PIK3CA;ATF4;IRAK3;CAMK2A;AKT3;CAMK2D;RPS6KA2;RPS6KA3;MAP3K3;PLCG2;RAP1B;MAPK12,119 (119),0.000635,0.0502,2,HMDB04951;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,5 (5),0.00193,0.073,1.79e-05,0.00111
Opioid Signalling,Reactome,6,PRKCA;PPP3CC;PDE1A;PLCB4;GNG2;ITPR2,81 (82),0.2,0.918,5,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201;HMDB01043;HMDB08048#HMDB08036#HMDB08038,21 (24),7.55e-06,0.000921,2.17e-05,0.0013
GnRH signaling pathway - Homo sapiens (human),KEGG,13,MAPK11;MAPK13;PRKCA;CACNA1S;ATF4;CAMK2A;CAMK2D;PLCB4;MAP3K3;MMP2;PLD2;MAPK12;ITPR2,93 (93),0.000533,0.0476,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01043,6 (6),0.00287,0.0845,2.2e-05,0.0013
Senescence and Autophagy in Cancer,Wikipathways,18,IGFBP5;MDM2;CREG1;ATG7;BRAF;KMT2A;IRF1;COL3A1;SQSTM1;IRF5;COL1A1;SLC39A4;SPARC;IGF1R;RNASEL;SH3GLB1;RB1CC1;MAP1LC3B,106 (106),3.11e-06,0.0013,0,,0 (0),1,1,3.11e-06,0.0013
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Wikipathways,34,COL2A1;COL3A1;JAK1;COL5A2;AKT3;RELN;FLT4;COL11A1;IGF1R;FOXO1;PDGFA;PDGFRA;PIK3C2B;PIK3CA;EPAS1;PIK3CG;PDGFD;GNG2;HGF;LAMC1;FGF11;ITGAL;IRS2;FGFR2;ITGA3;MDM2;INSR;TNXB;ITGB7;PRLR;ATF4;CREB3L2;COL1A1;COL1A2,302 (302),4.22e-06,0.00149,0,,0 (2),1,1,4.22e-06,0.00149
Interconversion of nucleotide di- and triphosphates,Wikipathways,0,,0 (0),1,1,6,HMDB01044;HMDB00288;HMDB00295;HMDB01546;HMDB01201;HMDB01397,41 (51),1.67e-05,0.00174,1.67e-05,0.00174
PI Metabolism,Reactome,15,PIKFYVE;PIK3C2B;GDPD5;PLEKHA1;PLEKHA2;GDPD3;PIK3CG;FIG4;BMX;PLEKHA8;PTPN13;TNFAIP8;PNPLA7;PIK3CA;INPP4B,84 (84),1.09e-05,0.00279,1,HMDB08048#HMDB08036#HMDB08038,17 (29),0.218,0.788,3.32e-05,0.00187
Interferon gamma signaling,Reactome,17,IRF6;GBP5;JAK1;GBP7;GBP4;IRF2;GBP2;IRF1;OAS3;IRF4;IRF5;SP100;CAMK2D;STAT1;B2M;TRIM25;CAMK2A,94 (94),2.39e-06,0.00109,0,,4 (5),1,1,3.33e-05,0.00187
Ras Signaling,Wikipathways,20,EXOC2;PAK1;GNG2;PDGFRA;PLA2G12A;RASSF5;RASGRP3;PRKCA;RAPGEF5;RAB5B;AKT3;PLCG2;FLT4;RASAL1;FGFR2;IGF1R;RAP1B;PLD2;INSR;PIK3CA,184 (184),0.000623,0.0502,2,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB01201,7 (7),0.00398,0.0983,3.45e-05,0.00189
Choline metabolism in cancer - Homo sapiens (human),KEGG,11,PDGFA;PDGFRA;PDGFD;PRKCA;AKT3;DGKH;SLC44A1;PLD2;PCYT1B;PIK3CA;GPCPD1,99 (99),0.00846,0.226,3,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038,10 (11),0.000299,0.0174,3.51e-05,0.00189
Phosphate bond hydrolysis by NTPDase proteins,Reactome,1,ENTPD4,8 (8),0.329,1,5,HMDB00288;HMDB00295;HMDB01546;HMDB01201;HMDB01397,22 (25),9.67e-06,0.00109,4.34e-05,0.00229
Focal Adhesion,Wikipathways,26,BLK;COL2A1;HGF;AKT3;RELN;RAP1B;IGF1R;BRAF;PDGFA;PDGFRA;PIK3CA;PPP1R12A;PDGFD;COL5A2;PAK1;SRMS;BIRC2;PRKCA;LAMC1;ITGA3;BCAR1;TNXB;ITGB7;CCND2;COL1A1;COL1A2,198 (198),3.62e-06,0.00138,0,,1 (2),1,1,4.89e-05,0.00252
