Lipid_ID	Lipid_ID_LION	FA_comp	Insaturations	Saturation_Class	Lipid_Family	Lipid_Type	F_Old_3a	F_Old_3b	F_Old_4a	F_Old_4b	F_Young_1a	F_Young_1b	F_Young_2a	F_Young_2b	M_Old_3a	M_Old_3b	M_Old_4a	M_Old_4b	M_Young_1a	M_Young_1b	M_Young_2a	M_Young_2b
CER(24:0)	Cer(d18:1/24:0)	FA24:0	0	Saturated_FA	CER	Sphingolipids	0.6216	0.7553	0.3102	0.6015	0.417	0.2411	0.3814	0.3662	0.6564	2.6918	1.2265	0.5715	0.6582	0.6493	0.5673	0.6098
CER(24:1)	Cer(d18:1/24:1)	FA24:1	1	MUFA	CER	Sphingolipids	0.7436	1.1059	0.4708	0.9088	0.7208	0.3691	0.6352	0.5845	1.2096	4.7912	1.8534	0.9357	0.9976	1.0574	0.9097	0.9376
DAG(12:0/16:0)	DG(12:0/16:0)	FA12:0,FA16:0	0	Saturated_FA	DAG	Neutral_Lipids	0.1948	0.2139	0.2049	0.2392	0.2403	0.1869	0.2549	0.1678	0.2187	0.2138	0.2522	0.1705	0.2102	0.2201	0.215	0.1964
DAG(12:0/18:0)	DG(12:0/18:0)	FA12:0,FA18:0	0	Saturated_FA	DAG	Neutral_Lipids	0.1916	0.1705	0.2029	0.1711	0.2023	0.1808	0.2801	0.1858	0.2266	0.2087	0.2368	0.1896	0.168	0.1883	0.2114	0.202
DAG(14:0/16:0)	DG(14:0/16:0)	FA14:0,FA16:0	0	Saturated_FA	DAG	Neutral_Lipids	0.4528	0.4487	0.4703	0.454	0.4892	0.4255	0.5943	0.4497	0.5113	0.5612	0.6696	0.3732	0.4282	0.5034	0.477	0.4232
DAG(16:0/16:0)	DG(16:0/16:0)	FA16:0,FA16:0	0	Saturated_FA	DAG	Neutral_Lipids	3.5939	4.09	4.1556	3.8729	4.2238	3.1877	5.4066	3.6375	4.6233	5.4129	5.8967	3.3547	3.998	5.1562	4.36	3.2376
DAG(16:0/16:1)	DG(16:0/16:1)	FA16:0,FA16:1	0	Saturated_FA	DAG	Neutral_Lipids	0.0459	0.0512	0.0278	0.0407	0.0459	0.0289	0.0413	0.0447	0.0595	0.1196	0.1003	0.0494	0.0337	0.0555	0.0426	0.0382
DAG(16:0/18:0)	DG(16:0/18:0)	FA16:0,FA18:0	0	Saturated_FA	DAG	Neutral_Lipids	4.6924	4.81	5.981	4.3522	5.6811	4.2212	7.9571	5.4122	5.8281	6.8084	6.5061	4.4595	4.4688	6.1209	6.0999	4.1779
DAG(16:0/18:1)	DG(16:0/18:1)	FA16:0,FA18:1	0	Saturated_FA	DAG	Neutral_Lipids	0.2622	0.2746	0.2474	0.2801	0.3481	0.2357	0.3969	0.2821	0.3515	0.6839	0.567	0.3844	0.3161	0.3808	0.2913	0.2638
DAG(16:0/18:2)	DG(16:0/18:2)	FA16:0,FA18:2	0	Saturated_FA	DAG	Neutral_Lipids	0.1061	0.185	0.1006	0.1639	0.151	0.1018	0.1771	0.1729	0.1681	0.6755	0.4695	0.3272	0.2885	0.33	0.1942	0.1715
DAG(16:0/18:3)	DG(16:0/18:3)	FA16:0,FA18:3	0	Saturated_FA	DAG	Neutral_Lipids	0.0665	0.0572	0.0534	0.0499	0.0488	0.0529	0.0548	0.0486	0.0579	0.0816	0.0789	0.0501	0.052	0.0477	0.0613	0.0591
DAG(16:0/20:4)	DG(16:0/20:4)	FA16:0,FA20:4	0	Saturated_FA	DAG	Neutral_Lipids	0.00843608	0.0474	0.0196	0.0357	0.0243	0.004125629	0.0275	0.0298	0.0348	0.1699	0.0774	0.0906	0.0421	0.0634	0.0367	0.0222
DAG(16:0/22:5)	DG(16:0/22:5)	FA16:0,FA22:5	0	Saturated_FA	DAG	Neutral_Lipids	0.1437	0.1884	0.1857	0.1596	0.1771	0.1479	0.2704	0.1573	0.1884	0.2008	0.1764	0.1504	0.1431	0.222	0.1881	0.1516
DAG(16:0/22:6)	DG(16:0/22:6)	FA16:0,FA22:6	0	Saturated_FA	DAG	Neutral_Lipids	0.0208	0.0242	0.0242	0.0297	0.0265	0.0266	0.0313	0.0204	0.0324	0.0522	0.045	0.0321	0.0247	0.032	0.0247	0.023
DAG(18:0/18:1)	DG(18:0/18:1)	FA18:0,FA18:1	0	Saturated_FA	DAG	Neutral_Lipids	0.1492	0.1458	0.1384	0.1337	0.1815	0.1372	0.175	0.1342	0.1564	0.254	0.2224	0.1801	0.1432	0.1709	0.1455	0.1375
DAG(18:0/18:2)	DG(18:0/18:2)	FA18:0,FA18:2	0	Saturated_FA	DAG	Neutral_Lipids	0.0809	0.1537	0.071	0.0976	0.1105	0.0724	0.0982	0.1182	0.0956	0.393	0.2123	0.1492	0.1217	0.184	0.1001	0.0839
DAG(18:0/18:3)	DG(18:0/18:3)	FA18:0,FA18:3	0	Saturated_FA	DAG	Neutral_Lipids	0.0609	0.0576	0.0498	0.0447	0.0602	0.0469	0.057	0.0503	0.0468	0.0606	0.0569	0.0326	0.0549	0.0447	0.0439	0.0563
DAG(18:0/22:6)	DG(18:0/22:6)	FA18:0,FA22:6	0	Saturated_FA	DAG	Neutral_Lipids	0.0147	0.0207	0.0266	0.0166	0.0246	0.0172	0.0307	0.0186	0.026	0.0422	0.0237	0.0231	0.0175	0.0232	0.0199	0.0272
DAG(18:1/18:1)	DG(18:1/18:1)	FA18:1,FA18:1	1	MUFA	DAG	Neutral_Lipids	0.1361	0.1371	0.1246	0.1291	0.1639	0.1408	0.1542	0.1195	0.1462	0.2093	0.1794	0.1545	0.1418	0.1307	0.1213	0.1354
DAG(18:1/18:2)	DG(18:1/18:2)	FA18:1,FA18:2	1	MUFA	DAG	Neutral_Lipids	0.1891	0.2073	0.1844	0.224	0.2383	0.2013	0.2359	0.1911	0.2275	0.5133	0.3161	0.3028	0.2231	0.2837	0.2348	0.2123
DAG(18:1/20:3)	DG(18:1/20:3)	FA18:1,FA20:3	1	MUFA	DAG	Neutral_Lipids	0.0314	0.0313	0.025269148	0.0327	0.0267	0.0281	0.0248	0.005325294	0.0278	0.0411	0.0489	0.0299	0.0218	0.0306	0.0355	0.0267
DAG(18:1/20:4)	DG(18:1/20:4)	FA18:1,FA20:4	1	MUFA	DAG	Neutral_Lipids	0.0364	0.0531	0.0316	0.047	0.0361	0.0374	0.004196989	0.0306	0.0514	0.0982	0.0517	0.0849	0.0394	0.0553	0.0347	0.0263
DAG(18:1/22:5)	DG(18:1/22:5)	FA18:1,FA22:5	1	MUFA	DAG	Neutral_Lipids	0.0295	0.0408	0.0262	0.0283	0.0398	0.0321	0.0318	0.036	0.0287	0.0462	0.0453	0.0369	0.0312	0.0366	0.0393	0.0313
DAG(18:1/22:6)	DG(18:1/22:6)	FA18:1,FA22:6	1	MUFA	DAG	Neutral_Lipids	0.026	0.0326	0.0238	0.034	0.0327	0.0284	0.0263	0.0284	0.0336	0.052	0.0291	0.0327	0.0347	0.0287	0.0283	0.0257
DAG(18:2/22:4)	DG(18:2/22:4)	FA18:2,FA22:4	2	PUFA	DAG	Neutral_Lipids	0.005717594	0.0322	0.006546825	0.0331	0.0301	0.015693816	0.008883693	0.0204	0.0366	0.1236	0.0606	0.0323	0.0389	0.0492	0.0449	0.0333
DAG(20:0/20:0)	DG(20:0/20:0)	FA20:0,FA20:0	0	Saturated_FA	DAG	Neutral_Lipids	0.0579	0.03	0.007027261	0.0365	0.0285	0.0261	0.0301	0.023	0.0348	0.0418	0.04	0.0343	0.033	0.0263	0.0493	0.043
DCER(16:0)	DCER(d18:1/16:0)	FA16:0	0	Saturated_FA	DCER	Sphingolipids	0.0464	0.0777	0.0247	0.0631	0.0566	0.009577661	0.0586	0.0404	0.0883	0.2641	0.1687	0.0801	0.0661	0.0955	0.0766	0.0742
DCER(20:0)	DCER(d18:1/20:0)	FA20:0	0	Saturated_FA	DCER	Sphingolipids	0.0752	0.0825	0.0512	0.0892	0.1143	0.0742	0.0733	0.0981	0.1027	0.1364	0.0993	0.0619	0.0968	0.0703	0.0794	0.1048
DCER(22:0)	DCER(d18:1/22:0)	FA22:0	0	Saturated_FA	DCER	Sphingolipids	0.0734	0.1043	0.048	0.0971	0.0777	0.0497	0.0683	0.0888	0.085	0.1997	0.1175	0.0717	0.1025	0.0748	0.0665	0.1176
DCER(24:1)	DCER(d18:1/24:1)	FA24:1	1	MUFA	DCER	Sphingolipids	0.0769	0.0932	0.0659	0.0871	0.0965	0.0486	0.0774	0.0763	0.0993	0.3649	0.1718	0.0987	0.101	0.0864	0.089	0.096
FFA(12:0)	FFA(12:0)	FA12:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.4595	0.6465	0.2485	0.5388	0.3522	0.2195	0.3713	0.3287	0.4925	2.0178	1.007	0.4537	0.4995	0.4642	0.429	0.5079
FFA(14:0)	FFA(14:0)	FA14:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.0278	0.04	0.0176	0.0399	0.0219	0.0121	0.0225	0.0215	0.0246	0.1099	0.0466	0.0249	0.0247	0.0235	0.0162	0.0164
FFA(14:1)	FFA(14:1)	FA14:1	1	MUFA	FFA	Free_Fatty_Acid	0.0436	0.0362	0.0182	0.0429	0.0209	0.0119	0.0242	0.0255	0.0335	0.1418	0.0564	0.0342	0.0323	0.0275	0.0241	0.0283
FFA(15:0)	FFA(15:0)	FA15:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.3245	0.3283	0.1263	0.2406	0.1742	0.1232	0.156	0.1833	0.2768	1.0457	0.5188	0.2385	0.258	0.2358	0.2149	0.2423
FFA(16:0)	FFA(16:0)	FA16:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.015666489	0.0186	0.0118	0.0173	0.0156	0.006159839	0.012038498	0.013129909	0.0199	0.0622	0.0294	0.0165	0.0166	0.01622315	0.0135	0.0161
FFA(16:1)	FFA(16:1)	FA16:1	1	MUFA	FFA	Free_Fatty_Acid	0.3263	0.3921	0.1742	0.3122	0.2253	0.1472	0.2191	0.2352	0.3502	1.3813	0.6703	0.2859	0.3563	0.3294	0.3097	0.2887
FFA(17:0)	FFA(17:0)	FA17:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.3269	0.494	0.2139	0.3883	0.2651	0.1459	0.3162	0.2443	0.4523	1.6228	0.7636	0.3695	0.3756	0.3426	0.32	0.3383
FFA(18:0)	FFA(18:0)	FA18:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.0434	0.012924134	0.007254239	0.0426	0.036	0.0438	0.1363	0.0841	0.0561	0.038954724	0.0485	0.011498822	0.0466	0.016201629	0.0643	0.0329
FFA(18:1)	FFA(18:1)	FA18:1	1	MUFA	FFA	Free_Fatty_Acid	0.020501598	0.042	0.0291	0.0393	0.0267	0.0363	0.0404	0.0332	0.0402	0.0839	0.0447	0.0474	0.0425	0.0406	0.0535	0.0357
FFA(18:2)	FFA(18:2)	FA18:2	2	PUFA	FFA	Free_Fatty_Acid	2.7958	2.5643	2.492	2.2602	2.5476	2.346	3.129	2.7433	2.7215	2.7009	2.7199	2.1367	2.7938	2.3247	2.4881	2.2544
FFA(18:3)	FFA(18:3)	FA18:3	3	PUFA	FFA	Free_Fatty_Acid	11.0187	9.8087	9.9374	9.3744	9.7719	9.9218	12.0151	10.8185	11.8096	10.1663	11.4267	7.7691	9.8089	9.0961	10.6076	9.287
FFA(18:4)	FFA(18:4)	FA18:4	4	PUFA	FFA	Free_Fatty_Acid	0.6816	0.752	0.9351	0.5899	1.0891	0.6238	1.2185	1.1536	0.9344	0.9668	0.7957	0.8099	0.9009	1.1204	0.7029	0.9083
FFA(20:0)	FFA(20:0)	FA20:0	0	Saturated_FA	FFA	Free_Fatty_Acid	3.8103	3.4207	3.4806	3.4125	3.6246	3.324	4.5772	4.1654	3.8968	3.8854	3.7593	2.9428	3.5437	3.668	3.9121	3.1661
FFA(20:1)	FFA(20:1)	FA20:1	1	MUFA	FFA	Free_Fatty_Acid	109.5531	105.98	115.4562	102.5978	121.496	110.6505	140.244	120.0144	129.0646	100.5597	117.8976	99.7489	108.3619	106.864	117.6962	97.1497
FFA(20:2)	FFA(20:2)	FA20:2	2	PUFA	FFA	Free_Fatty_Acid	1.725	1.7226	1.7449	1.632	2.3859	1.4756	2.3278	1.9939	1.7401	1.8211	1.897	2.2919	1.711	1.4287	1.8976	1.2646
FFA(20:3)	FFA(20:3)	FA20:3	3	PUFA	FFA	Free_Fatty_Acid	7.0416	6.4772	6.2702	6.405	6.4287	6.4763	7.4807	6.7621	7.0205	5.9652	6.8748	5.2456	5.7737	5.3705	6.9061	5.6294
FFA(20:4)	FFA(20:4)	FA20:4	4	PUFA	FFA	Free_Fatty_Acid	156.876	157.4373	168.0402	148.7923	172.3336	159.5656	190.79	170.1202	179.5595	139.6287	163.2275	136.1873	149.3151	159.1025	167.7212	155.8142
FFA(20:5)	FFA(20:5)	FA20:5	5	PUFA	FFA	Free_Fatty_Acid	9.8699	11.6793	14.3879	9.8265	18.6164	9.9764	14.7961	9.7943	10.7543	8.3855	13.5538	16.2679	10.5119	9.4448	14.4411	6.6254
FFA(22:0)	FFA(22:0)	FA22:0	0	Saturated_FA	FFA	Free_Fatty_Acid	4.3485	5.8438	7.1464	4.2966	7.2089	4.5118	6.8023	4.6487	4.9445	4.056	6.2512	7.8216	5.0312	4.487	6.0173	3.1619
FFA(22:1)	FFA(22:1)	FA22:1	1	MUFA	FFA	Free_Fatty_Acid	1.9644	2.1996	2.4785	1.8429	2.6651	1.9292	2.4414	1.8314	2.3701	1.8161	2.5368	2.2974	1.8047	1.9716	2.1002	1.9527
FFA(22:2)	FFA(22:2)	FA22:2	2	PUFA	FFA	Free_Fatty_Acid	0.4662	0.4312	0.4077	0.4547	1.4717	0.5763	0.8202	0.6147	0.6205	0.4814	0.7138	0.4888	0.558	0.426	0.5214	0.4801
FFA(22:4)	FFA(22:4)	FA22:4	4	PUFA	FFA	Free_Fatty_Acid	5.8207	6.422	6.6659	9.3562	12.4273	23.3557	11.8117	10.5313	9.0187	7.5845	10.1493	6.2066	7.9675	8.3241	12.8186	6.827
FFA(22:5)	FFA(22:5)	FA22:5	5	PUFA	FFA	Free_Fatty_Acid	0.8445	0.9946	0.9285	0.7882	1.12	0.9881	1.025	1.1005	1.408	1.0622	1.0806	0.8692	0.9751	0.8858	1.2821	1.1148
FFA(22:6)	FFA(22:6)	FA22:6	6	PUFA	FFA	Free_Fatty_Acid	0.5062	0.5312	0.4238	0.3987	0.6368	0.5058	0.612	0.7999	0.8173	0.5868	0.5877	0.5226	0.6145	0.5798	0.5228	0.6265
FFA(24:0)	FFA(24:0)	FA24:0	0	Saturated_FA	FFA	Free_Fatty_Acid	0.8145	0.979	1.0923	0.7234	1.0581	0.9477	1.5177	0.9329	0.9727	1.1269	1.255	0.8117	1.2281	0.9384	1.1091	0.898
FFA(24:1)	FFA(24:1)	FA24:1	1	MUFA	FFA	Free_Fatty_Acid	1.1214	1.1196	1.1677	1.0551	2.2525	1.1465	1.9588	1.3935	1.309	1.3437	1.4916	1.1482	1.3162	1.0513	1.1388	0.9384
HCER(16:0)	HexCer(d18:1/16:0)	FA16:0	0	Saturated_FA	HCER	Sphingolipids	0.4807	0.7249	0.5094	0.4495	0.6619	0.4729	0.6863	0.7848	0.5332	0.5182	0.48	0.5782	0.5459	0.4723	0.5304	0.4665
HCER(18:0)	HexCer(d18:1/18:0)	FA18:0	0	Saturated_FA	HCER	Sphingolipids	2.7226	2.6409	2.7129	3.2795	6.3608	4.6053	4.3739	3.4534	4.2244	2.871	4.9374	2.1803	3.1452	2.9181	3.9261	3.1464
HCER(20:0)	HexCer(d18:1/20:0)	FA20:0	0	Saturated_FA	HCER	Sphingolipids	1.724	1.5768	2.0011	1.542	2.2583	1.8939	2.2457	2.0579	2.7	1.5536	2.3378	2.1013	2.1569	1.9285	2.083	2.0279
HCER(22:0)	HexCer(d18:1/22:0)	FA22:0	0	Saturated_FA	HCER	Sphingolipids	0.2484	0.2468	0.2401	0.22	0.2909	0.2379	0.2543	0.2745	0.3257	0.2616	0.3011	0.2453	0.2475	0.2393	0.2399	0.2626
HCER(22:1)	HexCer(d18:1/22:1)	FA22:1	1	MUFA	HCER	Sphingolipids	0.3758	0.4968	0.3814	0.4121	1.0833	0.4108	0.3848	0.5313	0.5545	0.4476	0.3174	0.9339	0.2632	0.2887	0.2475	0.2257
HCER(24:0)	HexCer(d18:1/24:0)	FA24:0	0	Saturated_FA	HCER	Sphingolipids	0.6396	0.7936	0.7712	0.8017	0.8591	0.974	0.8663	0.8429	1.2058	0.9638	0.7295	0.6922	0.9816	0.6379	0.5209	1.0129
HCER(24:1)	HexCer(d18:1/24:1)	FA24:1	1	MUFA	HCER	Sphingolipids	0.4792	0.5947	0.5735	0.6499	0.9837	1.281	0.935	0.8294	0.7758	0.7251	0.8007	0.5946	0.7035	0.5955	0.8248	0.5335
LCER(16:0)	Hex2Cer(d18:1/16:0)	FA16:0	0	Saturated_FA	LCER	Sphingolipids	4.8932	6.7233	6.0682	4.5074	6.1743	5.5845	8.6053	6.813	6.0037	5.5221	5.5095	5.5696	5.9072	5.6864	5.1063	5.3729
LCER(18:1)	Hex2Cer(d18:1/18:1)	FA18:1	1	MUFA	LCER	Sphingolipids	10.9118	15.4276	15.0169	10.4729	17.739	12.8035	21.0752	16.2516	15.6925	12.1232	12.6045	13.831	14.3001	13.3159	11.7159	13.1688
LPC(16:0)	PC(16:0/0:0)	FA16:0	0	Saturated_FA	LPC	Phospholipids	0.2464	0.3423	0.2163	0.296	0.2122	0.2233	0.2133	0.208	0.3833	1.089	0.6602	0.3149	0.2996	0.3402	0.3223	0.2785
LPC(18:0)	PC(18:0/0:0)	FA18:0	0	Saturated_FA	LPC	Phospholipids	0.1595	0.1826	0.1056	0.227395618	0.0972	0.087416225	0.1036	0.1115	0.1417	0.5737	0.361	0.1421	0.1129	0.1228	0.113717921	0.1038
LPC(18:1)	PC(18:1/0:0)	FA18:1	1	MUFA	LPC	Phospholipids	0.2639	0.2056	0.2142	0.259	0.1418	0.1584	0.1901	0.1844	0.1607	0.3246	0.3147	0.1866	0.1655	0.2185	0.1547	0.1889
LPC(18:2)	PC(18:2/0:0)	FA18:2	2	PUFA	LPC	Phospholipids	0.375	0.2975	0.2571	0.4089	0.2175	0.3155	0.2133	0.1779	0.2595	0.4756	0.6232	0.2958	0.2673	0.365	0.3579	0.3091
LPE(16:0)	PE(16:0/0:0)	FA16:0	0	Saturated_FA	LPE	Phospholipids	0.1097	0.2137	0.1753	0.1594	0.1845	0.0577	0.1297	0.1331	0.2702	0.5184	0.2102	0.2342	0.1799	0.2506	0.1346	0.2545
LPE(18:0)	PE(18:0/0:0)	FA18:0	0	Saturated_FA	LPE	Phospholipids	0.1347	0.1256	0.0744	0.142	0.0868	0.0679	0.0792	0.0733	0.1146	0.3849	0.2838	0.1117	0.1059	0.1211	0.1171	0.1048
LPE(18:1)	PE(18:1/0:0)	FA18:1	1	MUFA	LPE	Phospholipids	0.7189	0.8076	0.5875	0.681	0.5349	0.3803	0.5619	0.4642	1.0594	1.772	0.8861	0.6055	0.4997	0.6395	0.4607	0.6771
LPE(18:2)	PE(18:2/0:0)	FA18:2	2	PUFA	LPE	Phospholipids	1.8625	2.2539	1.5766	1.8548	1.5604	1.0382	1.4628	1.2326	2.602	5.5382	2.6599	1.8235	1.7091	2.1807	1.707	2.2091
LPE(20:3)	PE(20:3/0:0)	FA20:3	3	PUFA	LPE	Phospholipids	0.0758	0.107	0.1034	0.0804	0.0954	0.032967829	0.0772	0.0771	0.1571	0.3089	0.0579	0.1315	0.101	0.1237	0.0726	0.1318
LPE(20:4)	PE(20:4/0:0)	FA20:4	4	PUFA	LPE	Phospholipids	0.5479	0.7921	0.528	0.4694	0.5059	0.2586	0.4886	0.3951	0.8738	1.8273	0.6314	0.5528	0.5032	0.6329	0.3005	0.6096
PC(14:0/16:1)	PC(14:0/16:1)	FA14:0,FA16:1	0	Saturated_FA	PC	Phospholipids	0.168	0.1364	0.065630549	0.174828253	0.1114	0.164965786	0.132119845	0.09053719	0.2151	0.6275	0.2919	0.1235	0.191	0.1391	0.1444	0.0902
PC(14:0/18:1)	PC(14:0/18:1)	FA14:0,FA18:1	0	Saturated_FA	PC	Phospholipids	0.3924	0.4954	0.2073	0.4748	0.349	0.2356	0.2653	0.2979	0.5248	2.0148	0.7942	0.3531	0.4038	0.4106	0.4566	0.3516
PC(14:0/18:2)	PC(14:0/18:2)	FA14:0,FA18:2	0	Saturated_FA	PC	Phospholipids	0.8431	1.0363	0.535	0.9851	0.6213	0.4758	0.6923	0.6316	0.9052	4.3023	2.4588	0.9479	1.5338	1.2168	1.2818	1.0169
PC(14:0/20:4)	PC(14:0/20:4)	FA14:0,FA20:4	0	Saturated_FA	PC	Phospholipids	0.3286	0.3261	0.1534	0.3613	0.1881	0.125853187	0.2254	0.102559632	0.3707	1.6098	0.8299	0.3204	0.4169	0.4753	0.3814	0.3261
PC(16:0/14:0)	PC(16:0/14:0)	FA16:0,FA14:0	0	Saturated_FA	PC	Phospholipids	0.2591	0.475	0.1857	0.4688	0.2016	0.2792	0.3143	0.3019	0.3531	1.6045	0.9649	0.3451	0.6424	0.4583	0.461	0.434
PC(16:0/16:0)	PC(16:0/16:0)	FA16:0,FA16:0	0	Saturated_FA	PC	Phospholipids	3.4362	5.0659	2.6566	5.1609	3.3357	2.173	3.4608	3.3666	5.2241	21.0628	10.7176	5.1827	7.1588	5.8113	5.0474	4.9514
PC(16:0/16:1)	PC(16:0/16:1)	FA16:0,FA16:1	0	Saturated_FA	PC	Phospholipids	0.7918	0.8463	0.4991	1.0364	0.6416	0.3636	0.5909	0.5576	1.1188	5.2066	2.3432	1.0728	1.3217	0.8613	0.7595	0.9319
PC(16:0/18:0)	PC(16:0/18:0)	FA16:0,FA18:0	0	Saturated_FA	PC	Phospholipids	0.6285	0.7851	0.4641	0.6741	0.464	0.3321	0.5881	0.4366	0.6789	2.5708	1.545	0.7351	0.8494	0.8491	0.5714	0.5965
PC(16:0/18:1)	PC(16:0/18:1)	FA16:0,FA18:1	0	Saturated_FA	PC	Phospholipids	7.8138	8.8132	5.3067	9.8218	5.1652	3.2942	5.2985	5.3568	9.2684	33.5663	16.4511	7.789	9.9344	7.4958	6.5344	6.7279
